name,long,lat,date,intensity,type
Pannier,20.9791382,44.2327226,1/7/2023,7,tornado
Zamit,120.946263,30.526435,2/16/2023,2,hurricane
Bitchip,29.268579,49.4863064,11/16/2022,9,hurricane
Ronstring,117.1514753,-0.5025568,4/28/2023,9,hurricane
Aerified,86.358927,54.519499,11/10/2022,10,earthquake
Lotlux,60.3414529,41.3895075,2/20/2023,8,earthquake
Stringtough,112.8135304,-7.305958,5/20/2023,9,tornado
Wrapsafe,0.4785495,6.6101493,5/18/2023,6,flood
Y-find,13.1611762,58.5033171,11/3/2022,7,flood
Otcom,-58.487763,-34.5795379,7/2/2023,8,tornado
Span,123.7330073,7.7762319,11/3/2022,6,hurricane
Aerified,85.7788422,51.8321777,2/14/2023,8,tornado
Zaam-Dox,43.7557983,40.8428562,1/1/2023,8,hurricane
Domainer,132.5026207,35.1972586,1/29/2023,2,earthquake
Flowdesk,-7.9720237,41.3199734,1/20/2023,6,tornado
Tin,-5.24798,34.94873,7/3/2023,1,hurricane
Gembucket,-80.5993854,41.1071733,4/10/2023,10,hurricane
Flexidy,72.8578648,29.2083348,8/8/2023,9,hurricane
Toughjoyfax,-39.2617368,-12.9698503,5/6/2023,9,tornado
Andalax,-9.0817894,38.5537924,12/16/2022,5,hurricane
Cardify,-52.3375886,-31.7653989,8/8/2023,9,tornado
Bamity,-0.302506,45.417087,4/3/2023,3,hurricane
Stringtough,97.910792,35.083703,12/15/2022,1,hurricane
Tres-Zap,124.9017692,6.3524753,7/6/2023,8,hurricane
Konklux,114.498761,37.444498,9/20/2023,4,earthquake
Holdlamis,121.0927689,16.3513442,3/27/2023,7,earthquake
Voyatouch,2.0776887,41.4904044,11/26/2022,10,earthquake
Tampflex,-16.4405872,13.81425,12/8/2022,3,earthquake
Overhold,23.1684533,48.9339587,12/23/2022,6,flood
Home Ing,19.8365034,49.7266083,10/8/2022,5,flood
Treeflex,124.8905151,-9.0933664,5/31/2023,6,tornado
Solarbreeze,-73.583333,-13.308333,9/26/2023,9,hurricane
Zathin,110.7880536,-6.8243672,5/4/2023,9,flood
Transcof,69.2281531,33.6042793,2/9/2023,2,earthquake
It,121.1870788,14.5966665,4/3/2023,10,earthquake
Prodder,106.2327247,21.3392818,2/22/2023,10,flood
Quo Lux,25.2708919,60.3763373,5/12/2023,2,tornado
Fixflex,-9.3264629,38.6871727,7/31/2023,4,hurricane
Alpha,8.9714623,44.3972703,8/28/2023,5,earthquake
Flexidy,104.470164,1.008763,1/11/2023,4,hurricane
Rank,36.9565089,-7.703889,2/3/2023,8,earthquake
Zamit,15.7509093,46.1649072,2/2/2023,4,earthquake
Tresom,116.365867,39.912288,3/12/2023,5,earthquake
Otcom,25.6100339,57.331693,6/16/2023,3,flood
Quo Lux,53.0515402,51.7059957,11/8/2022,8,earthquake
Pannier,-74.0028364,18.1817674,7/2/2023,3,hurricane
Regrant,-7.5618071,40.1872593,2/14/2023,4,hurricane
Y-find,21.6682269,38.1625093,9/25/2023,2,flood
Wrapsafe,-58.5616502,-34.6698749,4/27/2023,7,earthquake
Zoolab,49.8739267,11.4720137,1/5/2023,8,tornado
Redhold,31.5370003,-0.7069135,9/23/2023,8,tornado
Fixflex,100.2625222,16.75245,3/6/2023,9,flood
Zamit,-84.1685232,9.9825621,2/6/2023,9,flood
Viva,116.554665,40.570338,12/5/2022,4,hurricane
Namfix,108.2496145,-7.0370275,1/6/2023,10,hurricane
Gembucket,6.798413,11.01088,11/10/2022,5,earthquake
Span,-74.6400432,7.5522902,11/15/2022,2,earthquake
Job,-72.6131562,-40.6607937,1/18/2023,6,tornado
Zontrax,116.30275,29.657856,2/17/2023,8,hurricane
Matsoft,-79.4956974,22.0808448,4/5/2023,5,tornado
Konklab,37.7144645,-3.7688094,11/13/2022,8,hurricane
Wrapsafe,113.4895468,23.3854292,4/14/2023,3,flood
Daltfresh,114.137862,22.541373,4/1/2023,10,flood
Cookley,28.2765218,48.2441219,6/16/2023,2,tornado
Greenlam,17.3583673,44.9532375,4/1/2023,3,tornado
Overhold,123.5560069,-8.3848454,2/3/2023,1,flood
Bitwolf,-62.7250402,17.3239734,11/15/2022,1,tornado
Flexidy,112.497228,27.955261,7/8/2023,8,earthquake
Y-Solowarm,71.4061876,35.0021932,12/11/2022,4,hurricane
Fix San,-71.459344,46.747041,9/18/2023,4,hurricane
Toughjoyfax,125.243313,5.742809,10/23/2022,10,hurricane
Lotstring,47.040538,38.864241,3/30/2023,2,hurricane
Bigtax,88.6331758,25.6279123,3/11/2023,9,flood
Voltsillam,-77.7312977,39.7164885,7/24/2023,10,earthquake
Subin,9.2841023,7.1657856,1/20/2023,6,tornado
Toughjoyfax,123.906,-10.1331,10/2/2022,6,flood
Lotstring,114.498761,37.444498,4/20/2023,8,tornado
Y-find,-72.317793,19.6808413,6/17/2023,5,flood
Zathin,-48.1199217,-23.176636,3/18/2023,10,flood
Overhold,102.665768,24.414825,7/23/2023,8,hurricane
Span,42.0384264,44.2220765,3/22/2023,7,earthquake
Stronghold,-61.5325824,10.6693395,8/20/2023,10,tornado
Daltfresh,-76.87192,0.66643,6/28/2023,7,tornado
Gembucket,110.5934986,-7.6622643,9/12/2023,2,flood
Bamity,105.96282,32.323256,11/21/2022,2,tornado
Stronghold,2.3405004,48.8753655,7/2/2023,9,hurricane
Ventosanzap,16.5529968,59.3703069,6/17/2023,2,earthquake
Prodder,108.525539,-7.0130494,1/3/2023,7,hurricane
Zoolab,125.5668499,41.733296,6/22/2023,9,earthquake
Cardguard,19.9864728,51.2568887,10/7/2022,5,earthquake
Voltsillam,21.5535126,51.6919243,1/2/2023,10,tornado
Bytecard,17.3434944,49.6052603,9/14/2023,8,tornado
Lotlux,-61.444406,15.444313,7/14/2023,3,tornado
Konklux,-105.03443,51.85006,4/16/2023,3,earthquake
Pannier,24.9872821,-8.7368981,12/9/2022,7,earthquake
Mat Lam Tam,107.3787448,-6.9547303,5/15/2023,7,hurricane
Fixflex,115.667208,37.039991,6/3/2023,10,hurricane
Sonair,124.1810057,-9.9422458,8/7/2023,9,hurricane
Pannier,101.5395705,2.9864896,10/2/2022,6,tornado
Biodex,36.5715924,5.7806339,8/17/2023,1,earthquake
Lotstring,23.697829,3.8164718,4/21/2023,3,flood
Tresom,115.062214,28.22335,4/14/2023,5,flood
Regrant,113.1916737,23.9563274,10/26/2022,2,hurricane
Sub-Ex,121.0774147,14.7569624,5/9/2023,4,hurricane
Flexidy,116.7810211,40.2251411,7/23/2023,2,tornado
Stronghold,35.070676,32.225262,2/3/2023,3,earthquake
Stronghold,112.4023244,-7.1259703,5/3/2023,9,tornado
Gembucket,-60.6743215,-32.947692,2/21/2023,6,flood
Veribet,119.3831026,-5.3383734,12/30/2022,3,flood
Domainer,105.093908,24.489685,12/7/2022,3,flood
Keylex,-6.2823331,57.013064,11/26/2022,2,earthquake
Keylex,-40.2271243,-12.5477492,2/1/2023,1,earthquake
Stringtough,125.2789544,24.8051928,8/14/2023,8,earthquake
Ventosanzap,43.70228,15.61576,1/5/2023,10,flood
Latlux,52.9759299,40.0336591,11/15/2022,4,tornado
Subin,66.66409,35.48936,7/9/2023,3,hurricane
Viva,-6.8028472,61.9952327,2/17/2023,9,earthquake
Biodex,112.0118669,-8.0475926,9/27/2023,8,hurricane
Sonsing,-103.2605763,25.7784224,5/1/2023,3,earthquake
Regrant,22.71667,38.4,1/24/2023,6,hurricane
Gembucket,-107.05128,51.50008,7/16/2023,7,flood
Sonsing,-45.4874873,-22.8450713,5/2/2023,3,tornado
Quo Lux,2.2159905,44.7535743,6/14/2023,3,earthquake
Zontrax,-87.5699999,37.97,1/31/2023,4,flood
Zaam-Dox,-80.4256976,7.9076232,3/26/2023,2,earthquake
Quo Lux,138.7601651,36.1113287,8/3/2023,5,earthquake
Konklab,-43.4150073,-20.3652719,6/18/2023,6,earthquake
Ronstring,-86.550039,41.879109,12/13/2022,10,earthquake
Y-find,12.87013,56.658933,7/11/2023,1,earthquake
Konklux,110.8171082,-6.4712737,10/20/2022,1,tornado
